algoritmo,tablero,iteracion,h,pasos,tiempo
ExecGenetic,8,1,1,1000,7.719189167022705
ExecGenetic,8,2,2,1000,7.706267833709717
ExecGenetic,8,3,0,4,0.03699851036071777
ExecGenetic,8,4,0,8,0.0666811466217041
ExecGenetic,8,5,1,1000,7.555187940597534
ExecGenetic,8,6,0,1,0.013205766677856445
ExecGenetic,8,7,0,2,0.020517587661743164
ExecGenetic,8,8,0,3,0.02774357795715332
ExecGenetic,8,9,1,1000,8.206298112869263
ExecGenetic,8,10,1,1000,8.291271924972534
ExecGenetic,8,11,1,1000,8.292973518371582
ExecGenetic,8,12,1,1000,7.855670928955078
ExecGenetic,8,13,0,1,0.013045549392700195
ExecGenetic,8,14,0,2,0.02073955535888672
ExecGenetic,8,15,1,1000,7.816212177276611
ExecGenetic,8,16,0,5,0.044019460678100586
ExecGenetic,8,17,1,1000,7.828791379928589
ExecGenetic,8,18,1,1000,7.772814750671387
ExecGenetic,8,19,0,1,0.01391911506652832
ExecGenetic,8,20,1,1000,7.52886700630188
ExecGenetic,8,21,1,1000,7.481242656707764
ExecGenetic,8,22,0,2,0.020357608795166016
ExecGenetic,8,23,0,1,0.01711273193359375
ExecGenetic,8,24,1,1000,7.791787385940552
ExecGenetic,8,25,0,1,0.012794733047485352
ExecGenetic,8,26,1,1000,7.94343376159668
ExecGenetic,8,27,0,534,4.169934272766113
ExecGenetic,8,28,1,1000,7.768623352050781
ExecGenetic,8,29,1,1000,7.815857648849487
ExecGenetic,8,30,1,1000,7.814888000488281
ExecHillClimb,8,1,2,1000,2.165616989135742
ExecHillClimb,8,2,2,1000,2.180288553237915
ExecHillClimb,8,3,1,1000,2.15830397605896
ExecHillClimb,8,4,3,1000,2.1202666759490967
ExecHillClimb,8,5,1,1000,2.237999677658081
ExecHillClimb,8,6,1,1000,2.746762752532959
ExecHillClimb,8,7,1,1000,2.243417501449585
ExecHillClimb,8,8,2,1000,2.2411303520202637
ExecHillClimb,8,9,1,1000,2.1009180545806885
ExecHillClimb,8,10,2,1000,2.1504101753234863
ExecHillClimb,8,11,1,1000,2.140948534011841
ExecHillClimb,8,12,1,1000,2.115140438079834
ExecHillClimb,8,13,0,2,0.006476402282714844
ExecHillClimb,8,14,4,1000,2.1267499923706055
ExecHillClimb,8,15,2,1000,2.114737033843994
ExecHillClimb,8,16,2,1000,2.0853374004364014
ExecHillClimb,8,17,1,1000,2.1750619411468506
ExecHillClimb,8,18,2,1000,2.1711325645446777
ExecHillClimb,8,19,2,1000,2.1547586917877197
ExecHillClimb,8,20,1,1000,2.1769227981567383
ExecHillClimb,8,21,1,1000,2.2068347930908203
ExecHillClimb,8,22,1,1000,2.159262180328369
ExecHillClimb,8,23,1,1000,2.1591989994049072
ExecHillClimb,8,24,2,1000,2.179596424102783
ExecHillClimb,8,25,3,1000,2.1645328998565674
ExecHillClimb,8,26,2,1000,2.2119522094726562
ExecHillClimb,8,27,2,1000,2.2524068355560303
ExecHillClimb,8,28,1,1000,2.1841533184051514
ExecHillClimb,8,29,2,1000,2.2195963859558105
ExecHillClimb,8,30,1,1000,2.104931116104126
ExecTempleSim,8,1,0,5283,0.26712560653686523
ExecTempleSim,8,2,0,3568,0.17987513542175293
ExecTempleSim,8,3,0,5129,0.25977635383605957
ExecTempleSim,8,4,0,1689,0.08747363090515137
ExecTempleSim,8,5,0,1846,0.09382438659667969
ExecTempleSim,8,6,0,2599,0.1311337947845459
ExecTempleSim,8,7,0,3815,0.19236993789672852
ExecTempleSim,8,8,0,409,0.020693540573120117
ExecTempleSim,8,9,0,1232,0.06258010864257812
ExecTempleSim,8,10,0,3097,0.15673351287841797
ExecTempleSim,8,11,0,3488,0.17597222328186035
ExecTempleSim,8,12,0,1585,0.08043766021728516
ExecTempleSim,8,13,0,1126,0.05835604667663574
ExecTempleSim,8,14,0,2665,0.13519501686096191
ExecTempleSim,8,15,0,3570,0.18150639533996582
ExecTempleSim,8,16,0,4082,0.20596098899841309
ExecTempleSim,8,17,0,4886,0.2464456558227539
ExecTempleSim,8,18,0,480,0.024476051330566406
ExecTempleSim,8,19,0,439,0.023021697998046875
ExecTempleSim,8,20,0,1626,0.08256793022155762
ExecTempleSim,8,21,0,5606,0.2858891487121582
ExecTempleSim,8,22,0,2939,0.14794182777404785
ExecTempleSim,8,23,0,5859,0.29491305351257324
ExecTempleSim,8,24,0,1474,0.07454180717468262
ExecTempleSim,8,25,0,5470,0.27721691131591797
ExecTempleSim,8,26,0,2961,0.14920687675476074
ExecTempleSim,8,27,0,4815,0.24290704727172852
ExecTempleSim,8,28,0,3121,0.15672087669372559
ExecTempleSim,8,29,0,680,0.03418278694152832
ExecTempleSim,8,30,0,2668,0.13440513610839844
ExecGenetic,10,1,2,1000,10.002516984939575
ExecGenetic,10,2,1,1000,9.7551589012146
ExecGenetic,10,3,1,1000,9.662182092666626
ExecGenetic,10,4,2,1000,9.66133165359497
ExecGenetic,10,5,1,1000,9.67543911933899
ExecGenetic,10,6,1,1000,9.651755809783936
ExecGenetic,10,7,0,3,0.03589224815368652
ExecGenetic,10,8,1,1000,9.660418510437012
ExecGenetic,10,9,1,1000,9.52052640914917
ExecGenetic,10,10,1,1000,9.524794101715088
ExecGenetic,10,11,2,1000,9.535382986068726
ExecGenetic,10,12,1,1000,9.53342866897583
ExecGenetic,10,13,1,1000,9.503429412841797
ExecGenetic,10,14,1,1000,9.654423475265503
ExecGenetic,10,15,1,1000,9.584803819656372
ExecGenetic,10,16,1,1000,9.439490795135498
ExecGenetic,10,17,1,1000,9.42987322807312
ExecGenetic,10,18,1,1000,9.40539813041687
ExecGenetic,10,19,0,1,0.01625823974609375
ExecGenetic,10,20,1,1000,9.398542404174805
ExecGenetic,10,21,1,1000,9.394009113311768
ExecGenetic,10,22,1,1000,9.396965980529785
ExecGenetic,10,23,0,8,0.08205318450927734
ExecGenetic,10,24,1,1000,9.391613960266113
ExecGenetic,10,25,1,1000,9.406604528427124
ExecGenetic,10,26,2,1000,9.411538362503052
ExecGenetic,10,27,2,1000,9.414145946502686
ExecGenetic,10,28,1,1000,9.402297496795654
ExecGenetic,10,29,0,1,0.016051292419433594
ExecGenetic,10,30,1,1000,9.406960725784302
ExecHillClimb,10,1,2,1000,4.802663326263428
ExecHillClimb,10,2,1,1000,4.82232403755188
ExecHillClimb,10,3,1,1000,4.8140764236450195
ExecHillClimb,10,4,2,1000,4.803346395492554
ExecHillClimb,10,5,2,1000,4.793672323226929
ExecHillClimb,10,6,2,1000,4.83268928527832
ExecHillClimb,10,7,3,1000,4.821100950241089
ExecHillClimb,10,8,1,1000,4.811875104904175
ExecHillClimb,10,9,3,1000,4.803224086761475
ExecHillClimb,10,10,2,1000,4.740565299987793
ExecHillClimb,10,11,2,1000,4.808794736862183
ExecHillClimb,10,12,2,1000,4.769993305206299
ExecHillClimb,10,13,2,1000,4.8207316398620605
ExecHillClimb,10,14,2,1000,4.768773317337036
ExecHillClimb,10,15,3,1000,4.7901997566223145
ExecHillClimb,10,16,1,1000,4.806367635726929
ExecHillClimb,10,17,3,1000,4.80693244934082
ExecHillClimb,10,18,2,1000,4.735101938247681
ExecHillClimb,10,19,1,1000,4.822613954544067
ExecHillClimb,10,20,3,1000,4.820249795913696
ExecHillClimb,10,21,3,1000,4.8222270011901855
ExecHillClimb,10,22,1,1000,4.751482725143433
ExecHillClimb,10,23,2,1000,4.75356388092041
ExecHillClimb,10,24,2,1000,4.767982006072998
ExecHillClimb,10,25,1,1000,4.784970760345459
ExecHillClimb,10,26,2,1000,4.778846025466919
ExecHillClimb,10,27,1,1000,4.781652212142944
ExecHillClimb,10,28,5,1000,4.842291593551636
ExecHillClimb,10,29,1,1000,4.829137325286865
ExecHillClimb,10,30,2,1000,4.713193655014038
ExecTempleSim,10,1,0,5231,0.3432736396789551
ExecTempleSim,10,2,1,10000,0.6602516174316406
ExecTempleSim,10,3,0,7642,0.5042829513549805
ExecTempleSim,10,4,0,6818,0.4472157955169678
ExecTempleSim,10,5,0,6902,0.45227885246276855
ExecTempleSim,10,6,0,7809,0.5158448219299316
ExecTempleSim,10,7,0,5385,0.3533816337585449
ExecTempleSim,10,8,0,3033,0.20128893852233887
ExecTempleSim,10,9,0,9047,0.5941240787506104
ExecTempleSim,10,10,0,9250,0.6104736328125
ExecTempleSim,10,11,0,1105,0.07279610633850098
ExecTempleSim,10,12,0,5913,0.38802504539489746
ExecTempleSim,10,13,0,9823,0.6478807926177979
ExecTempleSim,10,14,0,5784,0.3792586326599121
ExecTempleSim,10,15,0,437,0.028603076934814453
ExecTempleSim,10,16,0,4257,0.28131890296936035
ExecTempleSim,10,17,0,2333,0.15257930755615234
ExecTempleSim,10,18,0,7224,0.4742729663848877
ExecTempleSim,10,19,0,9994,0.6587357521057129
ExecTempleSim,10,20,0,8111,0.532423734664917
ExecTempleSim,10,21,0,6036,0.39850544929504395
ExecTempleSim,10,22,0,7642,0.5016708374023438
ExecTempleSim,10,23,0,7420,0.4892728328704834
ExecTempleSim,10,24,0,5969,0.3917701244354248
ExecTempleSim,10,25,0,6519,0.42984938621520996
ExecTempleSim,10,26,0,5984,0.392397403717041
ExecTempleSim,10,27,0,800,0.05271553993225098
ExecTempleSim,10,28,0,1951,0.1282808780670166
ExecTempleSim,10,29,0,6749,0.4451451301574707
ExecTempleSim,10,30,0,2190,0.14394831657409668
